;X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
363;766763.36;6284784.73;0.63;0.4;69;5040;46.8
364;766765.84;6284783.36;0.66;0.46;67;5280;46.9
365;766768.48;6284781.94;0.62;0.44;60;4960;40.1
366;766770.97;6284780.64;0.69;0.4;58;5520;39.7
367;766773.54;6284779.27;0.73;0.45;61;5840;43.6
368;766776.14;6284777.84;0.69;0.43;51;5520;35.3
369;766778.99;6284776.4;0.75;0.42;56;6000;39.8
370;766781.43;6284775.11;0.77;0.33;64;6160;45.1
371;766784.17;6284773.69;0.76;0.21;60;6080;40.1
372;766786.51;6284772.48;0.7;0.43;47;5600;33.1
373;766789.17;6284771.04;0.75;0.47;55;6000;39.8
374;766791.82;6284769.7;0.77;0.27;57;6160;39
375;766794.74;6284768.17;0.79;0.41;60;6320;43.6
376;766797.15;6284766.96;0.64;0.53;59;5120;41.1
377;766799.77;6284765.53;0.59;0.36;57;4720;36.4
378;766802.46;6284764.11;0.67;0.26;60;5360;38.8
379;766805.23;6284762.69;0.67;0.37;60;5360;40.3
380;766807.79;6284761.36;0.54;0.49;61;4320;39.8
381;766810.39;6284760;0.62;0.42;65;4960;43.6
382;766812.96;6284758.7;0.74;0.43;66;5920;47.6
383;766815.68;6284757.24;0.66;0.54;72;5280;52.7
384;766810.24;6284755.22;0.57;0.48;57;4560;37.5
385;766806.38;6284756.14;0.69;0.26;53;5520;34.6
386;766803.84;6284757.54;0.72;0.27;56;5760;37.2
387;766801.13;6284758.93;0.66;0.27;53;5280;34.1
388;766798.66;6284760.31;0.69;0.33;53;5520;35.4
389;766796.24;6284761.65;0.64;0.31;56;5120;36.1
390;766793.57;6284763.03;0.73;0.32;59;5840;40.2
391;766790.85;6284764.5;0.75;0.25;59;6000;39.7
392;766788.21;6284765.83;0.78;0.25;60;6240;41.1
393;766785.54;6284767.31;0.84;0.27;41;6720;30.3
394;766783.04;6284768.64;0.78;0.29;71;6240;50.8
395;766780.38;6284770.04;0.68;0.38;54;5440;36.5
396;766777.48;6284771.56;0.8;0.27;53;6400;36.8
397;766774.89;6284772.86;0.74;0.36;48;5920;33.6
398;766772.38;6284774.23;0.8;0.34;52;6400;37
399;766769.48;6284775.77;0.73;0.45;40;5840;29.8
400;766767.2;6284776.97;0.76;0.27;65;6080;44.8
401;766764.34;6284778.5;0.71;0.37;62;5680;42.7
402;766761.79;6284779.79;0.73;0.31;52;5840;35.3
403;766759.2;6284781.25;0.64;0.4;61;5120;40.8
404;766756.44;6284782.67;0.67;0.26;65;5360;42.5
405;766753.98;6284783.97;0.76;0.3;64;6080;44.4
406;766751.26;6284785.41;0.59;0.27;57;4720;35.3
407;766748.7;6284786.83;0.51;0.37;44;4080;27.6
408;766746.02;6284788.3;0.69;0.32;54;5520;35.9
409;766743.44;6284789.6;0.74;0.44;54;5920;38.5
410;766740.91;6284791.03;0.65;0.29;49;5200;31.8
411;766738.32;6284792.41;0.77;0.32;51;6160;35.6
412;766735.54;6284793.88;0.79;0.34;43;6320;31.3
413;766732.98;6284795.34;0.71;0.31;48;5680;32.5
414;766730.31;6284796.76;0.74;0.28;57;5920;38.5
415;766728.29;6284797.89;0.74;0.25;55;5920;36.7
416;766724.54;6284799.8;0.74;0.35;40;5920;29
417;766721.94;6284801.19;0.74;0.27;50;5920;33.8
418;766719.4;6284802.52;0.74;0.23;59;5920;39.2
419;766716.94;6284803.9;0.76;0.36;57;6080;39.9
420;766714.49;6284805.11;0.77;0.24;60;6160;40.7
421;766711.74;6284806.58;0.76;0.3;63;6080;43.6
422;766709.31;6284807.79;0.61;0.31;52;4880;33.1
423;766706.52;6284809.31;0.69;0.34;54;5520;36.2
424;766704.27;6284810.49;0.64;0.36;49;5120;32.4
425;766701.6;6284811.85;0.65;0.34;59;5200;38.7
426;766699;6284813.24;0.69;0.39;62;5520;42.5
427;766696.51;6284814.54;0.72;0.29;57;5760;38.2
428;766693.89;6284815.94;0.63;0.28;57;5040;36.2
429;766691.29;6284817.3;0.69;0.28;62;5520;40.9
430;766688.82;6284818.62;0.66;0.35;58;5280;38.4
431;766686.17;6284820;0.71;0.29;57;5680;37.9
432;766683.6;6284821.35;0.61;0.34;55;4880;35.3
433;766681.06;6284822.71;0.69;0.39;65;5520;44.9
434;766678.53;6284823.97;0.71;0.33;65;5680;44.5
435;766675.93;6284825.37;0.82;0.29;67;6560;48.3
436;766673.43;6284826.68;0.71;0.34;61;5680;41.5
437;766670.82;6284828.03;0.67;0.31;71;5360;48.1
438;766668.28;6284829.43;0.64;0.35;71;5120;48
439;766665.68;6284830.81;0.63;0.3;61;5040;39.2
440;766663.05;6284832.22;0.72;0.34;50;5760;34.2
441;766660.47;6284833.59;0.63;0.29;47;5040;30.3
442;766657.86;6284834.87;0.68;0.28;48;5440;31.6
443;766655.27;6284836.17;0.61;0.3;47;4880;30.1
444;766652.53;6284834.24;0.73;0.28;53;5840;35.6
445;766653.93;6284831.63;0.77;0.19;65;6160;43.8
446;766656.55;6284830.22;0.73;0.35;54;5840;37.1
447;766659.31;6284828.75;0.69;0.44;50;5520;34.8
448;766661.57;6284827.49;0.73;0.26;56;5840;37.3
449;766664.41;6284825.96;0.76;0.21;70;6080;48
450;766666.93;6284824.69;0.77;0.26;58;6160;39.5
451;766669.55;6284823.33;0.83;0.24;59;6640;41.3
452;766672.63;6284821.78;0.78;0.28;56;6240;38.6
453;766674.89;6284820.58;0.76;0.28;61;6080;41.8
454;766677.42;6284819.27;0.74;0.39;55;5920;38.5
455;766680.02;6284817.88;0.79;0.25;62;6320;42.8
456;766682.75;6284816.46;0.72;0.23;62;5760;40.9
457;766685.54;6284815.01;0.7;0.19;68;5600;44.5
458;766687.76;6284813.85;0.87;0.51;32;6960;28.4
459;766690.93;6284812.15;0.84;0.22;53;6720;37
460;766693.8;6284810.62;0.74;0.35;41;5920;29.5
461;766695.94;6284809.49;0.69;0.16;70;5520;45.4
462;766698.37;6284808.2;0.73;0.31;61;5840;41.5
463;766701.05;6284806.82;0.83;0.35;55;6640;39.9
464;766703.68;6284805.5;0.73;0.26;55;5840;36.6
465;766706.06;6284804.17;0.75;0.22;51;6000;34
466;766708.77;6284802.75;0.77;0.23;58;6160;39.1
467;766711.11;6284801.42;0.68;0.33;54;5440;35.9
468;766713.63;6284800.06;0.73;0.34;56;5840;38.3
469;766716.03;6284798.82;0.75;0.28;58;6000;39.4
470;766718.66;6284797.42;0.77;0.28;53;6160;36.4
471;766721.58;6284795.93;0.82;0.42;54;6560;39.9
472;766724.3;6284794.56;0.74;0.16;57;5920;36.9
473;766726.72;6284793.21;0.79;0.15;62;6320;41.4
474;766729.35;6284791.88;0.77;0.21;64;6160;43.3
475;766731.93;6284790.52;0.79;0.26;59;6320;40.7
476;766734.63;6284789.09;0.69;0.21;59;5520;37.9
477;766737.01;6284787.73;0.7;0.4;66;5600;46.1
478;766739.75;6284786.35;0.77;0.31;53;6160;36.7
479;766742.56;6284784.86;0.71;0.27;57;5680;37.7
