X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766694.56;6284795.92;0.74;0.38;0.73;5920
766697.35;6284794.41;0.74;0.3;0.51;5920
766699.86;6284793.12;0.69;0.31;0.74;5520
766702.5;6284791.74;0.72;0.24;0.8;5760
766705.03;6284790.31;0.81;0.18;0.83;6480
766707.43;6284789.08;0.79;0.32;0.81;6320
766710.46;6284787.44;0.66;0.31;0.92;5280
766713;6284786.07;0.61;0.19;0.8;4880
766715.44;6284784.82;0.65;0.27;0.82;5200
766718.03;6284783.47;0.69;0.42;0.75;5520
766721.12;6284781.84;0.65;0.2;0.87;5200
766723.79;6284780.51;0.67;0.25;0.85;5360
766725.82;6284779.45;0.73;0.38;0.79;5840
766728.61;6284777.92;0.72;0.39;0.69;5760
766731.58;6284776.39;0.7;0.29;0.76;5600
766734.27;6284774.94;0.63;0.21;0.77;5040
766736.95;6284773.53;0.66;0.29;0.78;5280
766739.41;6284772.3;0.68;0.14;0.89;5440
766742.24;6284770.79;0.7;0.33;0.74;5600
766744.78;6284769.47;0.77;0.38;0.74;6160
766747.56;6284767.94;0.8;0.39;0.81;6400
766749.98;6284766.61;0.77;0.3;0.84;6160
766752.6;6284765.25;0.7;0.2;0.83;5600
766755.08;6284763.93;0.76;0.4;0.82;6080
766757.87;6284762.48;0.69;0.29;0.78;5520
766760.28;6284761.2;0.74;0.27;0.91;5920
766762.73;6284759.93;0.88;0.28;0.84;7040
766765.43;6284758.48;0.87;0.43;0.8;6960
766768;6284757.07;0.73;0.41;0.84;5840
766770.72;6284755.7;0.74;0.34;0.85;5920
766773.14;6284754.42;0.71;0.41;0.81;5680
766775.91;6284753.05;0.7;0.39;0.84;5600
766778.61;6284751.71;0.63;0.56;0.78;5040
766781.17;6284750.41;0.67;0.47;0.83;5360
766783.62;6284749.07;0.78;0.37;0.87;6240
766784.16;6284748.67;0.56;0.33;0.72;4480
766784.93;6284748.12;0.73;0.36;0.92;5840
766656.31;6284841.38;0.6;0.48;0.7;4800
766658.17;6284840.04;0.53;0.34;0.73;4240
766660.62;6284838.73;0.59;0.34;0.77;4720
766663.41;6284837.3;0.72;0.37;0.74;5760
766666.21;6284835.9;0.64;0.34;0.87;5120
766668.81;6284834.6;0.72;0.34;0.84;5760
766671.56;6284833.12;0.61;0.49;0.84;4880
766674.1;6284831.77;0.61;0.31;0.86;4880
766676.86;6284830.32;0.61;0.42;0.81;4880
766679.4;6284828.96;0.67;0.27;0.84;5360
766682.12;6284827.49;0.61;0.37;0.79;4880
766684.72;6284826.03;0.61;0.37;0.79;4880
766687.28;6284824.7;0.63;0.52;0.79;5040
766689.94;6284823.32;0.65;0.43;0.82;5200
766692.67;6284821.98;0.68;0.34;0.84;5440
766695.16;6284820.67;0.64;0.42;0.9;5120
766697.75;6284819.36;0.58;0.45;0.79;4640
766700.3;6284817.98;0.65;0.36;0.83;5200
766702.96;6284816.6;0.53;0.53;0.74;4240
766705.6;6284815.17;0.63;0.51;0.81;5040
766708.11;6284813.85;0.62;0.61;0.76;4960
766710.65;6284812.52;0.72;0.34;0.84;5760
766713.21;6284811.23;0.67;0.38;0.7;5360
766715.78;6284809.83;0.62;0.53;0.69;4960
766718.39;6284808.53;0.76;0.33;0.79;6080
766720.93;6284807.26;0.62;0.33;0.73;4960
766723.72;6284805.76;0.76;0.49;0.72;6080
766725.97;6284804.55;0.75;0.32;0.77;6000
766729.06;6284802.95;0.76;0.33;0.79;6080
766731.59;6284801.6;0.7;0.27;0.8;5600
766734.19;6284800.23;0.69;0.33;0.73;5520
766737.03;6284798.7;0.65;0.42;0.6;5200
766739.69;6284797.24;0.65;0.33;0.71;5200
766742.33;6284795.8;0.72;0.46;0.62;5760
766745.02;6284794.43;0.67;0.44;0.79;5360
766747.65;6284793.06;0.55;0.53;0.79;4400
766750.14;6284791.79;0.72;0.42;0.85;5760
766752.93;6284790.31;0.65;0.4;0.8;5200
766755.45;6284788.95;0.66;0.34;0.84;5280
766758.1;6284787.49;0.66;0.33;0.9;5280
766760.66;6284786.06;0.67;0.3;0.92;5360
766763.36;6284784.73;0.63;0.4;0.89;5040
766765.84;6284783.36;0.66;0.46;0.87;5280
766768.48;6284781.94;0.62;0.44;0.8;4960
766770.97;6284780.64;0.69;0.4;0.78;5520
766773.54;6284779.27;0.73;0.45;0.81;5840
766776.14;6284777.84;0.69;0.43;0.71;5520
766778.99;6284776.4;0.75;0.42;0.76;6000
766781.43;6284775.11;0.77;0.33;0.84;6160
766784.17;6284773.69;0.76;0.21;0.8;6080
766786.51;6284772.48;0.7;0.43;0.67;5600
766789.17;6284771.04;0.75;0.47;0.75;6000
766791.82;6284769.7;0.77;0.27;0.77;6160
766794.74;6284768.17;0.79;0.41;0.8;6320
