X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766712.84;6284786.33;0.51;0.07;39;4080;31.8;56.8
766716.54;6284784.43;0.52;0.13;25;4160;24.5;68
766718.66;6284783.32;0.4;0.09;32;3200;25.9;62.4
766721.6;6284781.69;0.44;0.14;46;3520;36.1;51.2
766724.51;6284780.29;0.39;0.15;43;3120;33.1;53.6
766725.92;6284779.55;0.46;0.11;41;3680;32.6;55.2
766729.72;6284777.56;0.47;0.05;38;3760;30.2;57.6
766732.25;6284776.18;0.38;0.19;43;3040;33.4;53.6
766734.31;6284775.02;0.51;0.15;33;4080;29;61.6
766736.9;6284773.68;0.41;0.09;48;3280;36.2;49.6
766739.08;6284772.44;0.42;0.1;41;3360;31.7;55.2
766742.3;6284770.88;0.38;0.1;31;3040;25.2;63.2
766744.75;6284769.58;0.31;0.09;30;2480;23.5;64
766748.26;6284767.72;0.49;0.11;26;3920;24.4;67.2
766750.52;6284766.4;0.42;0.13;39;3360;30.8;56.8
766752.64;6284765.26;0.48;0.12;29;3840;25.9;64.8
766755.88;6284763.54;0.43;0.11;32;3440;26.6;62.4
766758.58;6284762.12;0.36;0.15;33;2880;26.4;61.6
766760.86;6284760.94;0.52;0.11;27;4160;25.4;66.4
766763.34;6284759.63;0.51;0.2;32;4080;29;62.4
766765.98;6284758.25;0.46;0.17;32;3680;27.8;62.4
766769.34;6284756.42;0.54;0.08;15;4320;19.7;76
766771.25;6284755.46;0.41;0.23;46;3280;36.6;51.2
766774.3;6284753.74;0.46;0.08;29;3680;25.2;64.8
766776.74;6284752.59;0.39;0.07;35;3120;27.2;60
766778.47;6284751.69;0.5;0.13;31;4000;27.5;63.2
766782.04;6284749.79;0.44;0.19;34;3520;28.8;60.8
766784.25;6284748.67;0.45;0.2;21;3600;22.2;71.2
766776.28;6284747.2;0.39;0.07;31;3120;25;63.2
766773.86;6284748.3;0.4;0.17;34;3200;27.9;60.8
766771.56;6284749.6;0.36;0.11;47;2880;34.6;50.4
766768.39;6284751.32;0.31;0.13;40;2480;29.4;56
766766.18;6284752.57;0.4;0.07;44;3200;32.9;52.8
766762.85;6284754.32;0.37;0.11;36;2960;27.9;59.2
766760.21;6284755.6;0.33;0.19;47;2640;35.1;50.4
766758.03;6284756.71;0.45;0.16;35;3600;29.3;60
766754.72;6284758.53;0.37;0.1;41;2960;30.8;55.2
766752.95;6284759.38;0.47;0.18;38;3760;31.7;57.6
766749.85;6284761.08;0.44;0.14;42;3520;33.3;54.4
766747.16;6284762.46;0.41;0.2;30;3280;26.1;64
766745.11;6284763.56;0.43;0.18;37;3440;30.3;58.4
766741.84;6284765.37;0.36;0.14;42;2880;31.7;54.4
766739.29;6284766.66;0.38;0.14;44;3040;33.4;52.8
766736.13;6284768.42;0.46;0.12;30;3680;26.1;64
766733.25;6284769.9;0.23;0.05;55;1840;32.5;44
766731.67;6284770.66;0.44;0.05;32;3520;26.2;62.4
766728.84;6284772.22;0.38;0.12;41;3040;31.2;55.2
766726.96;6284773.28;0.43;0.15;37;3440;30;58.4
766723.64;6284775;0.35;0.12;35;2800;27.1;60
766721.74;6284775.99;0.41;0.11;41;3280;31.6;55.2
766718.59;6284777.69;0.45;0.1;31;3600;26.3;63.2
766717.76;6284778.17;0.56;0.11;23;4480;24;69.6
766713.78;6284780.22;0.48;0.05;23;3840;22.2;69.6
766712.42;6284780.87;0.41;0.11;41;3280;31.6;55.2
766709.55;6284782.47;0.42;0.15;42;3360;33;54.4
766707.56;6284783.56;0.21;0.13;31;1680;21.3;63.2
766704.68;6284785;0.46;0.11;33;3680;27.7;61.6
766702.16;6284786.38;0.34;0.45;43;2720;40.3;53.6
766700.18;6284787.46;0.4;0.14;37;3200;29.3;58.4
766696.99;6284789.06;0.4;0.09;48;3200;36;49.6
766694.54;6284790.45;0.3;0.14;47;2400;33.8;50.4
766691.77;6284791.87;0.41;0.06;25;3280;22.2;68
766688.96;6284793.26;0.35;0.12;48;2800;35.3;49.6
766687.18;6284794.22;0.45;0.16;42;3600;33.7;54.4
766683.86;6284796;0.46;0.11;32;3680;27.1;62.4
766681.53;6284797.21;0.42;0.16;39;3360;31.2;56.8
766678.47;6284798.81;0.47;0.08;32;3760;27;62.4
766676.12;6284800.02;0.42;0.13;45;3360;34.8;52
766673.61;6284801.4;0.47;0.12;48;3760;37.9;49.6
766670.97;6284802.76;0.43;0.11;29;3440;25;64.8
766669.26;6284803.6;0.46;0.1;32;3680;27;62.4
766665.88;6284805.41;0.5;0.14;33;4000;28.7;61.6
766663.02;6284806.88;0.39;0.15;42;3120;32.4;54.4
766660.22;6284808.36;0.45;0.07;41;3600;31.9;55.2
766657.35;6284809.88;0.39;0.15;42;3120;32.4;54.4
766655.72;6284810.71;0.48;0.09;32;3840;27.3;62.4
766651.68;6284812.86;0.51;0.12;28;4080;25.9;65.6
766649.93;6284813.77;0.43;0.18;17;3440;16;82.4
766647.1;6284815.33;0.46;0.14;21;3680;21.8;71.2
766645.2;6284816.31;0.47;0.08;20;3760;16.8;80
766642.96;6284817.37;0.5;0.12;41;4000;33.6;55.2
766641.1;6284812.72;0.45;0.19;41;3600;33.4;55.2
766642.87;6284811.77;0.37;0.24;51;2960;39.7;47.2
766646.09;6284810.22;0.4;0.16;39;3200;30.8;56.8
766648.68;6284808.83;0.37;0.14;35;2960;27.6;60
766651.15;6284807.62;0.44;0.14;43;3520;33.9;53.6
766653.81;6284806.18;0.47;0.3;38;3760;33.2;57.6
766656.65;6284804.66;0.45;0.15;44;3600;35;52.8
766659.14;6284803.38;0.5;0.12;24;4000;23.6;68.8
766662.22;6284801.71;0.44;0.12;39;3520;31.1;56.8
766663.86;6284800.88;0.5;0.07;18;4000;20.4;73.6
766667.16;6284799.07;0.48;0.12;43;3840;34.5;53.6
766669.56;6284797.86;0.51;0.12;32;4080;28.1;62.4
766672.1;6284796.54;0.45;0.15;44;3600;35;52.8
766674.97;6284795.01;0.42;0.16;31;3360;26.4;63.2
766676.65;6284794.12;0.51;0.1;30;4080;26.8;64
766679.74;6284792.38;0.42;0.11;44;3360;33.8;52.8
766682.11;6284791.12;0.43;0.11;38;3440;30.1;57.6
766684.77;6284789.73;0.45;0.09;36;3600;29.1;59.2
766687.62;6284788.29;0.54;0.11;18;4320;21.3;73.6
766690.03;6284787.06;0.46;0.07;37;3680;29.6;58.4
766693.04;6284785.52;0.48;0.08;42;3840;33.3;54.4
766694.22;6284784.85;0.49;0.05;27;3920;24.3;66.4
766698.52;6284782.6;0.51;0.09;22;4080;22.5;70.4
766700.41;6284781.64;0.3;0.18;23;2400;16.7;77.6
766703.23;6284780.08;0.54;0.07;21;4320;22.3;71.2
766705.02;6284779.18;0.41;0.16;27;3280;24.2;66.4
766708.8;6284777.14;0.45;0.18;37;3600;30.7;58.4
766711.22;6284775.88;0.47;0.11;34;3760;28.5;60.8
766714.04;6284774.32;0.41;0.14;47;3280;36.1;50.4
766716.33;6284773.05;0.5;0.18;28;4000;26.3;65.6
766718.98;6284771.68;0.38;0.22;46;3040;35.8;51.2
766721.13;6284770.57;0.44;0.14;44;3520;34.6;52.8
766724.53;6284768.78;0.44;0.07;40;3520;31.1;56
766727.24;6284767.3;0.4;0.12;50;3200;37.8;48
766729.64;6284766.07;0.4;0.19;49;3200;38.1;48.8
766732.27;6284764.58;0.4;0.13;49;3200;37.2;48.8
766735.14;6284763.2;0.43;0.12;49;3440;37.8;48.8
766738.08;6284761.73;0.44;0.13;38;3520;30.6;57.6
766740.44;6284760.43;0.37;0.13;44;2960;33.1;52.8
766742.93;6284759.06;0.39;0.08;44;3120;32.8;52.8
766745.9;6284757.34;0.38;0.11;45;3040;33.7;52
766747.78;6284756.29;0.43;0.1;26;3440;23.4;67.2
766751.56;6284754.5;0.47;0.06;37;3760;29.7;58.4
766754.05;6284753.06;0.33;0.1;40;2640;29.4;56
766756.47;6284751.94;0.39;0.1;37;3120;28.7;58.4
766759.37;6284750.48;0.24;0.25;40;1920;33.9;64
766761.06;6284749.64;0.49;0.08;32;3920;32.2;70.4
766764.58;6284747.72;0.52;0.19;22;4160;29;78.4
766767.42;6284746.08;0.42;0.17;49;3360;41.3;56.8
766656.36;6284841.69;0.47;0.19;24;3760;29.2;76.8
766659.01;6284840.38;0.23;0.23;32;1840;29.9;70.4
766660.74;6284839.47;0.48;0.08;36;3840;34;67.2
766664.45;6284837.44;0.52;0.23;16;4160;27;83.2
766666.66;6284836.28;0.38;0.45;25;3040;31.5;76
766669.45;6284834.94;0.52;0.17;23;4160;29.3;77.6
766671.87;6284833.58;0.36;0.27;30;2880;31.1;72
