X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766299.17;6284540.64;0.12;0.09;28;960;21.6;57.8
766299.19;6284543.08;0.12;0.1;20;960;28.2;48.2
766299.1;6284546.33;0.16;0.07;17;1280;26.8;50.6
766298.96;6284548.98;0.12;0.06;17;960;16.6;66.6
766298.87;6284552.11;0.15;0.08;31;1200;23.5;55.4
766298.75;6284555.55;0.1;0.11;34;800;24.5;53
766298.7;6284557.8;0.11;0.07;20;880;27.7;48.2
766298.61;6284560.65;0.13;0.07;26;1040;21.8;43.4
766298.54;6284563.89;0.13;0.09;32;1040;23.8;54.6
766298.56;6284567.22;0.12;0.16;25;960;20.8;60.2
766298.55;6284569.32;0.12;0.16;15;960;25.9;52.2
766298.49;6284572.3;0.13;0.14;19;1040;28.2;49
766298.39;6284575.16;0.13;0.1;17;1040;26.6;50.6
766298.33;6284578.29;0.1;0.11;18;800;26.8;49.8
766298.28;6284580.67;0.1;0.1;20;800;17.9;64.2
766298.2;6284583.81;0.12;0.15;25;960;20.7;60.2
766298.02;6284587.44;0.12;0.11;15;960;25.4;52.2
766297.96;6284589.75;0.1;0.14;22;800;23.8;54.6
766297.92;6284592.97;0.11;0.13;28;880;29.6;46.6
766297.84;6284595.57;0.11;0.14;20;880;23.7;41.8
766297.8;6284598.7;0.12;0.11;30;960;28.3;48.2
766297.71;6284601.73;0.14;0.08;30;1120;22.8;56.2
766297.6;6284604.38;0.08;0.09;33;640;23.5;53.8
766297.47;6284607.53;0.12;0.11;20;960;18.2;64.2
766297.47;6284609.98;0.11;0.27;18;880;18.5;65.8
766297.34;6284613.06;0.11;0.14;22;880;29.7;46.6
766297.15;6284616.15;0.13;0.11;22;1040;29.7;46.6
766297.1;6284619.31;0.12;0.16;16;960;22.7;43.4
766297.05;6284622.08;0.13;0.08;33;1040;24.2;53.8
766297.02;6284625.75;0.06;0.14;32;480;23.2;54.6
766296.94;6284627.03;0.14;0.14;32;1120;24.4;54.6
766296.9;6284632.12;0.12;0.13;32;960;24;54.6
766296.88;6284633.62;0.11;0.11;23;880;30;45.8
766296.76;6284636.91;0.12;0.4;24;960;24.5;45
766291.74;6284635.84;0.11;0.06;16;880;25.3;51.4
766291.85;6284633.98;0.11;0.08;20;880;27.8;48.2
766291.92;6284629.78;0.16;0.11;17;1280;25.5;53
766291.97;6284627.84;0.11;0.09;19;880;27.3;49
766292.03;6284624.49;0.11;0.09;34;880;24.5;53
766292.13;6284621.13;0.15;0.09;24;1200;20.2;61
766292.16;6284619.51;0.11;0.08;19;880;17.4;65
766292.24;6284615.34;0.18;0.09;31;1440;24;55.4
766292.33;6284612.41;0.11;0.07;26;880;21.4;43.4
766292.41;6284609.87;0.11;0.1;16;880;25.7;51.4
766292.47;6284606.77;0.1;0.1;15;800;25;52.2
766292.58;6284603.95;0.05;0.09;25;400;29.8;44.2
766292.67;6284600.97;0.11;0.09;25;880;21;44.2
766292.78;6284597.57;0.11;0.07;27;880;22.1;42.6
766292.81;6284594.48;0.19;0.06;18;1520;17.4;49.8
766292.83;6284591.97;0.13;0.08;26;1040;21.9;43.4
766292.89;6284589.06;0.14;0.09;28;1120;23.6;41.8
766292.99;6284585.98;0.18;0.08;24;1440;21.6;45
766293.03;6284583.46;0.14;0.07;21;1120;20.9;47.4
766293.13;6284580.41;0.15;0.09;25;1200;21.8;44.2
766293.12;6284577.86;0.11;0.08;20;880;27.8;48.2
766293.23;6284573.93;0.17;0.14;33;1360;25.5;53.8
766293.24;6284570.57;0.18;0.11;27;1440;22.2;58.6
766293.29;6284568.52;0.15;0.17;16;1200;27.1;51.4
766293.43;6284565.84;0.2;0.12;23;1600;21.8;45.8
766293.5;6284562.51;0.11;0.1;25;880;21.1;44.2
766293.55;6284559.29;0.13;0.07;20;1040;28;48.2
766293.62;6284556.29;0.19;0.07;18;1520;27.9;49.8
766293.72;6284552.81;0.13;0.07;22;1040;29.2;46.6
766293.79;6284550.71;0.2;0.07;23;1600;21.2;45.8
766293.83;6284547.55;0.12;0.07;20;960;32.8;48.2
766293.9;6284544.65;0.24;0.06;19;1920;29.7;55.4
766293.94;6284540.81;0.14;0.09;17;1120;31.7;50.6
766294;6284538.5;0.14;0.08;23;1120;28.8;54.6
766294.16;6284535.68;0.17;0.1;17;1360;32.3;50.6
766294.25;6284532.49;0.14;0.06;22;1120;34.3;46.6
766323.82;6284655.01;0.02;0.28;15;160;11.9;82.8
766323.95;6284651.36;0.07;0.22;11;560;19.9;60.4
766324;6284648.96;0.12;0.18;22;960;24.6;51.6
766324.08;6284646.17;0.14;0.16;17;1120;22.6;55.6
766324.16;6284642.48;0.07;0.33;15;560;24.6;57.2
766324.22;6284639.76;0.1;0.17;16;800;21.8;56.4
766324.29;6284637.55;0.11;0.19;7;880;18.8;63.6
766324.4;6284633.53;0.11;0.24;8;880;19.4;62.8
766324.46;6284630.39;0.17;0.23;20;1360;24.8;53.2
766324.51;6284627.69;0.13;0.15;14;1040;21.2;58
766324.62;6284624.33;0.09;0.2;18;720;22.7;54.8
766324.63;6284621.77;0.11;0.2;15;880;21.7;57.2
766324.74;6284619.03;0.13;0.16;19;1040;23.3;54
766324.8;6284616.52;0.13;0.11;15;1040;21.3;57.2
766324.86;6284613.06;0.19;0.12;13;1520;21.3;58.8
766324.95;6284610.34;0.12;0.08;28;960;26.5;46.8
766325.03;6284607.01;0.18;0.11;20;1440;24;53.2
766325.14;6284604.57;0.12;0.09;21;960;23.5;52.4
766325.16;6284601.77;0.18;0.1;24;1440;25.7;50
766325.26;6284599.52;0.11;0.2;15;880;21.7;57.2
766325.27;6284594.98;0.12;0.12;25;960;25.5;49.2
766325.36;6284592.33;0.19;0.11;15;1520;22;57.2
766325.46;6284589.27;0.13;0.11;12;1040;20.2;59.6
766325.57;6284586.14;0.13;0.13;18;1040;22.7;54.8
766325.67;6284584.39;0.08;0.12;24;640;24.5;50
766325.79;6284580.42;0.12;0.09;18;960;22.2;54.8
766325.78;6284577.14;0.12;0.13;16;960;21.7;56.4
766325.82;6284574.62;0.14;0.08;15;1120;21.2;57.2
766326.01;6284571.51;0.13;0.06;16;1040;21.3;56.4
766326.09;6284568.86;0.15;0.07;19;1200;22.9;54
766326.14;6284565.27;0.23;0.15;10;1840;20.9;61.2
766326.17;6284563.24;0.08;0.2;9;640;13.4;78
766326.27;6284556.36;0.17;0.05;12;1360;25.5;59.6
766326.34;6284552.54;0.13;0.12;7;1040;20.2;76.4
766326.41;6284550.87;0.16;0.09;17;1280;13.9;55.6
766326.44;6284547.99;0.17;0.1;17;1360;22.3;55.6
766326.59;6284545.06;0.15;0.09;20;1200;22.5;53.2
766326.71;6284542.36;0.17;0.13;23;1360;23.4;50.8
766326.84;6284539.44;0.16;0.13;20;1280;25.3;53.2
766326.94;6284535.59;0.17;0.04;25;1360;23.9;49.2
766326.91;6284532.86;0.17;0.23;25;1360;25.5;49.2
766323.67;6284531.61;0.21;0.18;28;1680;27.2;46.8
766321.96;6284532.89;0.23;0.12;22;1840;28.8;51.6
766321.8;6284536.29;0.22;0.09;23;1760;25.6;50.8
766321.7;6284539.16;0.17;0.06;23;1360;25.7;50.8
766321.6;6284541.9;0.2;0.09;15;1600;24.7;57.2
766321.56;6284544.78;0.12;0.1;21;960;22;52.4
766321.52;6284547.77;0.16;0.13;21;1280;23.5;52.4
766321.48;6284550.51;0.2;0.11;25;1600;24.3;49.2
766321.37;6284553.73;0.17;0.08;18;1360;26.5;54.8
766321.35;6284557.37;0.22;0.14;13;1760;22.8;64.4
766321.27;6284559.49;0.13;0.13;14;1040;19.2;58
766321.17;6284562.34;0.17;0.12;19;1360;21.1;54
766321.06;6284565.46;0.14;0.11;16;1120;23.5;56.4
766321.04;6284568.57;0.2;0.08;25;1600;21.8;49.2
766320.93;6284571.36;0.25;0.12;12;2000;26.3;67.6
766320.83;6284573.68;0.15;0.1;18;1200;18.1;54.8
766320.77;6284576.86;0.19;0.08;18;1520;22.7;54.8
766320.72;6284579.21;0.14;0.08;19;1120;23;54
766320.58;6284582.11;0.08;0.18;26;640;22.8;48.4
766320.54;6284585.79;0.17;0.1;17;1360;25.9;55.6
766320.5;6284588.61;0.13;0.14;21;1040;22.5;52.4
766320.44;6284591.54;0.13;0.14;26;1040;24;48.4
766320.33;6284594.38;0.2;0.09;20;1600;26.3;53.2
766320.28;6284597.05;0.16;0.2;10;1280;24.1;61.2
766320.24;6284600.18;0.16;0.14;22;1280;20.4;51.6
766320.19;6284603.09;0.23;0.17;20;1840;24.8;53.2
766320.07;6284606.11;0.2;0.12;23;1600;25.1;50.8
766320.01;6284609.29;0.14;0.14;21;1120;25.7;52.4
766319.94;6284611.7;0.19;0.09;26;1520;24.1;48.4
766319.88;6284615.17;0.08;0.16;23;640;26.7;50.8
766319.83;6284617.68;0.12;0.16;29;960;24.4;46
766319.75;6284620.77;0.17;0.19;14;1360;27.8;58
766319.66;6284623.68;0.14;0.13;16;1120;22;56.4
766319.57;6284626.93;0.2;0.18;8;1600;22;62.8
766319.51;6284630.09;0.15;0.16;18;1200;20;54.8
766319.46;6284632.48;0.15;0.17;19;1200;23.1;54
766319.37;6284635.21;0.16;0.15;19;1280;23.6;54
766319.39;6284638.29;0.15;0.39;10;1200;23.6;61.2
766319.35;6284640.16;0.09;0.32;14;720;21.7;58
766319.1;6284644.21;0.18;0.1;21;1440;22.8;52.4
766316.14;6284642.88;0.2;0.22;22;1600;24.3;51.6
766314.26;6284638.35;0.14;0.11;17;1120;26.1;55.6
766314.34;6284635.62;0.14;0.07;16;1120;22.2;56.4
766314.5;6284632.69;0.1;0.08;20;800;21.5;53.2
766314.44;6284628.51;0.09;0.27;28;720;22.7;46.8
766314.48;6284627.05;0.12;0.1;11;960;26;60.4
766314.69;6284622.88;0.15;0.04;14;1200;19.7;77.2
766314.73;6284620.34;0.16;0.14;16;1280;13.4;64.4
766314.77;6284617.82;0.15;0.07;10;1200;18.6;61.2
766314.84;6284614.93;0.11;0.07;19;880;19.4;54
766314.92;6284611.71;0.13;0.1;14;1040;22.4;58
766315.02;6284608.72;0.11;0.1;19;880;20.9;54
766315.07;6284605.63;0.12;0.09;16;960;22.6;56.4
766315.1;6284603.3;0.11;0.2;20;880;21.4;53.2
766315.14;6284599.95;0.16;0.12;14;1280;23.8;66
766315.18;6284597.97;0.13;0.12;10;1040;17.8;61.2
766315.35;6284593.39;0.11;0.13;20;880;19.5;53.2
766315.4;6284591.58;0.17;0.15;8;1360;23.2;62.8
766315.56;6284588.31;0.14;0.12;21;1120;19.5;52.4
766315.66;6284586.46;0.21;0.24;8;1680;24;85.2
766315.79;6284581.63;0.13;0.11;22;1040;12.4;51.6
