X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766921.28;6284747.94;0.22;0.18;42;1760;28.6;39.4
766920.54;6284751.2;0.24;0.19;49;1920;33.2;33.8
766919.99;6284753.79;0.18;0.25;31;1440;23.1;48.2
766919.35;6284756.67;0.21;0.22;37;1680;26.2;43.4
766918.81;6284759.34;0.1;0.34;29;800;14.7;65.8
766918.15;6284762.7;0.22;0.21;38;1760;26.8;42.6
766917.61;6284765.39;0.25;0.2;37;2000;26.6;43.4
766916.84;6284768.88;0.18;0.43;31;1440;24.7;48.2
766916.26;6284771.51;0.22;0.23;31;1760;23.5;48.2
766915.63;6284774.55;0.3;0.17;27;2400;22.3;51.4
766915.12;6284777.11;0.27;0.22;30;2160;23.7;49
766914.55;6284779.73;0.3;0.18;29;2400;23.3;49.8
766913.98;6284782.64;0.3;0.21;30;2400;24;49
766913.34;6284785.71;0.31;0.19;30;2480;24;49
766912.73;6284788.51;0.32;0.21;26;2560;22.5;52.2
766912.13;6284791.31;0.27;0.17;31;2160;23.7;48.2
766911.61;6284794.08;0.26;0.16;25;2080;20.9;53
766911.1;6284796.99;0.21;0.2;35;1680;25;45
766910.39;6284799.9;0.19;0.19;38;1520;26.1;42.6
766909.65;6284802.92;0.23;0.21;37;1840;26.4;43.4
766909.09;6284805.51;0.29;0.15;37;2320;26.8;43.4
766908.48;6284808.57;0.1;0.31;10;800;14.8;65
766907.8;6284811.63;0.32;0.17;24;2560;21.3;53.8
766907.21;6284814.44;0.28;0.2;38;2240;27.6;42.6
766906.61;6284817.41;0.27;0.21;35;2160;26;45
766905.99;6284820.5;0.26;0.2;43;2080;30.1;38.6
766905.41;6284823.42;0.25;0.25;33;2000;25.1;46.6
