X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766702.58;6284791.84;1.22;0.23;76;9760;83.3;25.4
766704.87;6284790.55;1.06;0.48;73;8480;72.9;27.8
766707.03;6284789.47;1.31;0.36;74;10480;92.9;27
766709.91;6284787.9;0.95;0.41;73;7600;64.8;27.8
766712.24;6284786.66;0.95;0.35;69;7600;59.3;31
766714.68;6284785.43;0.88;0.28;71;7040;57.6;29.4
766717.06;6284784.17;1.13;0.27;72;9040;72.9;28.6
766720.13;6284782.51;1.11;0.43;68;8880;71;31.8
766722.27;6284781.41;1.44;0.47;78;11520;115.9;23.8
766724.89;6284780.06;1.19;0.4;78;9520;87.1;23.8
766727.51;6284778.65;1.11;0.44;58;8880;62.6;39.8
766730.73;6284776.94;1.11;0.42;69;8880;71.7;31
766732.71;6284775.96;1.12;0.55;70;8960;76.4;30.2
766735.19;6284774.56;1.16;0.3;67;9280;71.1;32.6
766738;6284773.08;1.16;0.25;74;9280;76.7;27
766740.34;6284771.95;1.55;0.34;77;12400;123.7;24.6
766742.85;6284770.57;1.51;0.33;73;12080;112.4;27.8
766744.93;6284769.54;1.1;0.48;61;8800;65.2;37.4
766748.21;6284767.72;1.16;0.38;77;9280;82.9;24.6
766750.76;6284766.29;1.41;0.35;83;11280;115.5;19.8
766753.38;6284764.85;1.24;0.34;72;9920;83.6;28.6
766755.88;6284763.53;1.11;0.39;63;8880;65.8;35.8
766758.5;6284762.09;1.19;0.36;69;9520;76.7;31
766760.88;6284760.83;1.26;0.38;78;10080;93.3;23.8
766763.45;6284759.47;1.14;0.55;77;9120;85.3;24.6
766765.98;6284758.21;1.21;0.4;78;9680;89;23.8
766768.42;6284756.84;1.16;0.32;71;9280;75.4;29.4
766771.14;6284755.48;1.36;0.39;82;10880;109.5;20.6
766773.64;6284754.11;1.14;0.38;69;9120;73.1;31
766776.25;6284752.8;1.14;0.45;73;9120;78.7;27.8
766778.23;6284751.75;1.32;0.28;70;10560;87.1;30.2
766781.66;6284749.95;1.22;0.41;67;9760;78.4;32.6
766784.01;6284748.71;1.04;0.36;60;8320;58.3;38.2
766785.97;6284747.2;1.14;0.6;74;9120;83.2;27
766656.83;6284841.32;1.49;0.44;74;11920;115;27
766659.59;6284839.99;1.11;0.38;60;8880;63.2;38.2
766661.95;6284838.65;1.38;0.37;72;11040;97.8;28.6
766664.49;6284837.38;1.48;0.37;75;11840;113.1;26.2
766667.19;6284835.98;1.21;0.51;56;9680;69.3;41.4
766669.37;6284834.89;1.6;0.42;76;12800;132;25.4
766672.19;6284833.37;1.16;0.33;74;9280;78.6;27
766674.5;6284832.15;1.17;0.31;78;9360;83.1;23.8
766677.25;6284830.66;1.01;0.41;64;8080;60.3;35
766679.41;6284829.53;1.3;0.35;77;10400;95.3;24.6
766681.98;6284828.14;1.42;0.5;57;11360;87.5;40.6
766684.57;6284826.73;1.14;0.47;54;9120;62;43
766686.58;6284825.64;1.25;0.52;71;10000;87.9;29.4
766689.86;6284823.93;1.55;0.46;72;12400;120.4;28.6
766692.29;6284822.68;1.34;0.98;60;10720;100.5;38.2
766694.76;6284821.4;1.35;0.64;75;10800;106.6;26.2
766697.35;6284820.05;1.69;0.49;59;13520;119.2;39
766699.63;6284818.89;1.45;0.59;70;11600;109.5;30.2
766702.77;6284817.24;1.12;0.96;68;8960;88;31.8
766705.13;6284815.98;1.13;0.39;58;9040;63.1;39.8
766707.02;6284814.9;1.24;0.39;67;9920;79.5;32.6
766709.9;6284813.39;1.3;0.39;69;10400;87;31
766711.71;6284812.47;1.24;0.8;62;9920;85.5;36.6
766714.62;6284811.04;1.66;0.61;63;13280;125.8;35.8
766717.43;6284809.58;1.2;0.92;54;9600;79.6;43
766719.22;6284808.64;1.27;0.66;75;10160;98.6;26.2
766721.84;6284807.35;1.07;0.28;45;8560;48.5;50.2
766724.6;6284805.74;1.59;0.36;77;12720;129.9;24.6
766726.8;6284804.51;1.21;0.5;73;9680;86;27.8
766729.51;6284803.14;1.12;0.43;75;8960;78.6;26.2
766731.96;6284801.86;1.4;0.4;70;11200;98.3;30.2
766734.35;6284800.52;1.01;0.41;61;8080;58;37.4
766736.58;6284799.36;1.09;0.44;40;8720;48.7;54.2
766739.62;6284797.73;1.36;0.47;66;10880;91.3;33.4
766741.93;6284796.53;1.35;0.44;63;10800;86.2;35.8
766745.07;6284794.84;1.25;0.3;68;10000;79.3;31.8
766746.69;6284793.95;1.24;0.31;55;9920;66.6;42.2
766749.77;6284792.39;1.12;0.31;77;8960;77.8;24.6
766752.3;6284791.06;1.09;0.35;58;8720;59.7;39.8
766754.68;6284789.78;1.29;0.5;86;10320;110.5;17.4
766757.37;6284788.27;1.31;0.33;71;10480;88.6;29.4
766759.57;6284787.09;1.2;0.55;77;9600;90.9;24.6
766761.63;6284785.9;1.19;0.52;45;9520;59.1;50.2
766765.08;6284784.19;1.46;0.41;73;11680;109.1;27.8
766766.72;6284783.27;1.1;0.41;37;8800;46.9;56.6
766770.19;6284781.43;1.66;0.27;74;13280;131.1;27
766772.54;6284780.24;1.63;0.39;63;13040;114.4;35.8
766774.58;6284779.11;1.4;0.38;67;11200;94;32.6
766776.93;6284777.82;1.15;0.46;49;9200;58.6;47
766780.03;6284776.22;1.54;0.28;73;12320;114.4;27.8
766782.37;6284774.97;1.38;0.35;77;11040;103.8;24.6
766784.88;6284773.69;1.49;0.43;81;11920;125.5;21.4
766787.68;6284772.17;1.17;0.33;61;9360;67.2;37.4
766790.16;6284770.86;1.29;0.27;77;10320;92;24.6
766792.29;6284769.77;1.38;0.39;73;11040;99.7;27.8
766795.24;6284768.23;1.53;0.41;69;12240;111.6;31
766797.41;6284767.15;1.18;0.43;67;9440;75.6;32.6
766800.31;6284765.57;1.57;0.37;67;12560;112.2;32.6
766802.91;6284764.18;1.2;0.43;65;9600;75.2;34.2
766805.43;6284762.9;1.37;0.32;67;10960;89.5;32.6
766807.69;6284761.74;1.06;0.58;27;8480;43.4;64.6
766811.02;6284759.88;1;0.36;64;8000;58.8;35
766813.12;6284758.83;1.12;0.42;78;8960;81.4;23.8
766815.64;6284757.52;1.26;0.55;79;10080;99.4;23
766815.88;6284756.19;1.1;0.59;55;8800;62.4;42.2
766806.94;6284756.43;1.37;0.46;40;10960;65.9;54.2
766805.14;6284757.41;1.42;0.31;79;11360;109.7;23
766802.58;6284758.79;1.04;0.62;47;8320;54.4;48.6
766800.25;6284759.97;1.41;0.51;58;11280;87.9;39.8
766797.67;6284761.43;1.16;0.37;68;9280;73.6;31.8
766794.95;6284762.87;1.12;0.29;72;8960;72.5;28.6
766792.65;6284764.05;1.54;0.33;76;12320;120.7;25.4
766790.28;6284765.27;1.16;0.38;78;9280;83.9;23.8
766787.93;6284766.54;1.57;0.46;71;12560;121.4;29.4
766784.93;6284768.07;1.42;0.46;68;11360;99.6;31.8
766782.64;6284769.26;1.49;0.4;75;11920;115.3;26.2
766780.1;6284770.59;1.31;0.43;65;10480;84.5;34.2
766777.74;6284771.92;1.43;0.36;76;11440;108.3;25.4
766775.21;6284773.25;1.18;0.38;73;9440;80.4;27.8
766772.49;6284774.72;1.26;0.46;69;10080;85.1;31
766769.45;6284776.34;1.33;0.32;67;10640;85.7;32.6
766767.93;6284777.15;1.44;0.44;80;11520;118;22.2
766764.91;6284778.76;1.46;0.38;79;11680;116.9;23
766763.18;6284779.67;1.33;0.31;69;10640;87.6;31
766759.96;6284781.46;1.46;0.33;66;11680;97.5;33.4
766757.39;6284782.72;1.51;0.48;70;12080;113.1;30.2
766755.01;6284783.94;1.56;0.46;77;12480;129.6;24.6
766752.52;6284785.19;1.14;0.41;52;9120;59.4;44.6
766750.21;6284786.53;1.05;0.45;35;8400;44.2;58.2
766746.67;6284788.49;1.52;0.36;55;12160;91;42.2
766745.38;6284789.17;1.45;0.5;66;11600;101.5;33.4
766742.64;6284790.64;1.29;0.55;57;10320;77.3;40.6
766739.54;6284792.23;1.34;0.36;68;10720;88.8;31.8
766737.72;6284793.2;1.45;0.6;37;11600;72;56.6
766735.16;6284794.57;1.44;0.46;58;11520;89.5;39.8
766732.52;6284796.08;1.18;0.43;63;9440;71.7;35.8
766729.95;6284797.46;1.28;0.31;79;10240;94.5;23
766728.1;6284798.45;1.03;0.44;44;8240;48.1;51
766724.65;6284800.14;1.1;0.37;59;8800;61.5;39
