X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766324.19;6284623.69;1.17;0.57;91;9360;95.6;12.8
766324.26;6284620.8;1.33;0.76;88;10640;115.3;15.2
766324.4;6284617.78;1.31;0.53;92;10480;111;12
766324.51;6284614.83;1.16;0.51;72;9280;72.9;28
766324.49;6284611.92;1.26;0.75;90;10080;109.5;13.6
766324.55;6284609.06;1.36;0.5;91;10880;114.6;12.8
766324.65;6284606.13;1.43;0.39;90;11440;118;13.6
766324.73;6284603.17;1.22;0.56;92;9760;101.8;12
766324.82;6284600.38;1.3;0.58;96;10400;117.3;8.8
766324.85;6284597.38;1.4;0.53;92;11200;122.2;12
766324.86;6284594.86;1.27;0.48;83;10160;93.5;19.2
766324.98;6284591.54;1.22;0.63;92;9760;103.9;12
766325.04;6284588.73;1.13;0.57;87;9040;87.1;16
766325.16;6284585.86;1.14;0.59;88;9120;89.6;15.2
766325.24;6284582.4;1.32;0.41;72;10560;83.8;28
766325.39;6284579.93;1.26;0.5;94;10080;107.1;10.4
766325.4;6284577.09;1.27;0.77;82;10160;100.4;20
766325.43;6284574.24;1.17;0.68;94;9360;102.7;10.4
766325.51;6284571.17;1.3;0.69;88;10400;109.5;15.2
766325.54;6284568.39;1.25;0.45;95;10000;105.8;9.6
766325.56;6284565.53;1.44;0.51;92;11520;126.6;12
766325.58;6284562.42;1.04;0.72;67;8320;65.5;32
766325.65;6284559.56;1.3;0.66;73;10400;89.5;27.2
766325.73;6284556.76;1.53;0.54;89;12240;135.3;14.4
766325.78;6284553.89;1.08;0.57;67;8640;63.9;32
766325.81;6284551;1.33;0.45;95;10640;115;9.6
766325.88;6284548.21;1.3;0.47;89;10400;103.9;14.4
766325.94;6284545.32;1.16;0.43;95;9280;95.6;9.6
766326.01;6284542.58;1.24;0.44;93;9920;101.6;11.2
766326.11;6284539.63;1.26;0.51;94;10080;107.3;10.4
766326.16;6284536.91;1.17;0.5;92;9360;95;12
766326.21;6284534.38;1.36;0.57;76;10880;96.5;24.8
766325.96;6284531.48;1.28;0.57;88;10240;103.4;15.2
766321.51;6284532.12;1.63;0.48;91;13040;151.5;12.8
766321.44;6284535.1;1.29;0.54;89;10320;104.9;14.4
766321.37;6284537.87;1.23;0.52;94;9840;104.3;10.4
766321.25;6284540.61;1.24;0.51;90;9920;99.9;13.6
766321.15;6284543.38;1.13;0.55;95;9040;96.6;9.6
766321.16;6284546.24;1.24;0.44;91;9920;99.1;12.8
766321.07;6284548.88;1.09;0.59;94;8720;94.1;10.4
766321.01;6284551.82;1.48;0.45;92;11840;129.9;12
766320.97;6284553.83;1.34;0.45;66;10720;80.2;32.8
766320.95;6284557.66;1.24;0.48;86;9920;94;16.8
766320.93;6284560.1;1.17;0.51;94;9360;97.6;10.4
766320.86;6284562.63;1.1;0.57;92;8800;90.6;12
766320.78;6284565.83;1.37;0.57;81;10960;103.9;20.8
766320.7;6284568.42;1.21;0.53;94;9680;102.5;10.4
766320.66;6284571.32;1.18;0.42;80;9440;80.3;21.6
766320.56;6284573.8;1.18;0.38;91;9440;91.4;12.8
766320.53;6284576.65;1.16;0.53;94;9280;97.1;10.4
766320.5;6284579.19;1.25;0.49;77;10000;85;24
766320.4;6284582.09;1.46;0.51;73;11680;101.5;27.2
766320.32;6284585.07;1.51;0.39;93;12080;133.4;11.2
766320.24;6284587.76;1.39;0.64;94;11120;128.2;10.4
766320.19;6284590.5;1.22;0.56;96;9760;107.1;8.8
766320.12;6284593.28;1.28;0.56;96;10240;114.2;8.8
766320.02;6284596.18;1.32;0.58;90;10560;111;13.6
766319.98;6284599.21;1.32;0.54;79;10560;95.3;22.4
766319.94;6284601.89;1.41;0.57;88;11280;118.7;15.2
766319.84;6284604.57;1.28;0.68;87;10240;105.4;16
766319.7;6284607.36;1.39;0.5;93;11120;121.4;11.2
766319.55;6284610.42;1.25;0.63;95;10000;111.6;9.6
766319.47;6284613.14;1.24;0.47;88;9920;96.2;15.2
766319.35;6284615.91;1.34;0.7;86;10720;111.6;16.8
766319.2;6284619.05;1.25;0.6;90;10000;103.8;13.6
766319.05;6284621.69;1.27;0.48;92;10160;104.9;12
766318.9;6284624.66;1.12;0.43;90;8960;85.9;13.6
766318.82;6284627.43;1.24;0.53;82;9920;90.7;20
766318.8;6284630.38;1.12;0.51;94;8960;93.1;10.4
766318.77;6284633.18;1.29;0.45;95;10320;110.3;9.6
766318.62;6284636.09;1.15;0.46;95;9200;95.4;9.6
766318.62;6284638.66;1.2;0.55;81;9600;86.4;20.8
766318.52;6284641.83;1.36;0.54;82;10880;103.2;20
766318.42;6284644.46;1.42;0.47;96;11360;129.1;8.8
