X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766316.27;6284561.01;0.13;0.12;28;1040;25.2
766316.28;6284559.03;0.17;0.15;22;1360;35.3
766316.4;6284555.86;0.23;0.18;28;1840;32.8
766316.46;6284552.45;0.28;0.14;8;2240;38
766316.49;6284550.01;0.14;0.13;20;1120;27.1
766316.63;6284546.93;0.18;0.09;20;1440;30.9
766316.74;6284543.78;0.14;0.08;25;1120;31.2
766316.85;6284541.12;0.2;0.12;17;1600;33.2
766316.93;6284538.69;0.16;0.18;19;1280;30.2
766317;6284535.61;0.11;0.26;21;880;31.2
766316.94;6284532.37;0.12;0.15;10;960;32.3
766312.05;6284531.16;0.22;0.08;20;1760;25.9
766311.9;6284534.48;0.17;0.22;10;1360;31.7
766311.85;6284536.71;0.23;0.09;24;1840;27.2
766311.79;6284539.72;0.18;0.24;16;1440;34.3
766311.71;6284542.71;0.22;0.09;26;1760;30.5
766311.68;6284545.09;0.22;0.07;32;1760;35.4
766311.61;6284548.22;0.16;0.11;28;1280;39.1
766311.53;6284550.86;0.19;0.23;14;1520;35.7
766311.44;6284554.17;0.18;0.08;22;1440;29.6
766311.36;6284557.27;0.15;0.09;20;1200;32.2
766311.33;6284560.06;0.16;0.07;19;1280;30.7
766311.24;6284563.18;0.15;0.07;21;1200;30.1
766311.11;6284566.15;0.15;0.06;16;1200;31
766311.04;6284568.91;0.18;0.07;21;1440;28.3
766310.98;6284571.81;0.2;0.06;19;1600;31.5
766310.92;6284574.54;0.15;0.1;22;1200;30.7
766310.84;6284577.94;0.17;0.07;11;1360;31.9
766310.79;6284580.58;0.21;0.12;11;1680;26.3
766310.72;6284583.52;0.14;0.08;19;1120;27.3
766310.63;6284586.7;0.15;0.06;16;1200;29.9
766310.53;6284589.2;0.17;0.11;23;1360;28.3
766310.42;6284592.76;0.23;0.06;16;1840;32.9
766310.41;6284595.07;0.17;0.07;25;1360;29.6
766310.31;6284598.11;0.19;0.1;22;1520;33.6
766310.22;6284601;0.16;0.09;21;1280;32.6
766310.14;6284604.04;0.16;0.12;22;1280;31.4
766310.03;6284606.73;0.22;0.08;19;1760;32.3
766309.9;6284610.04;0.16;0.07;20;1280;31.2
766309.83;6284612.66;0.18;0.09;17;1440;30.6
766309.79;6284615.3;0.22;0.07;13;1760;29.6
766309.76;6284618.44;0.16;0.08;20;1280;28
766309.67;6284620.76;0.19;0.22;10;1520;30.7
766309.59;6284623.94;0.18;0.08;15;1440;23.1
766309.58;6284627.02;0.18;0.15;25;1440;28.5
766309.53;6284630.12;0.17;0.08;23;1360;34.7
766309.38;6284633.21;0.17;0.08;19;1360;32.6
766309.39;6284636.53;0.21;0.06;21;1680;30.4
766309.27;6284639.22;0.15;0.09;22;1200;31.9
766309.24;6284641.08;0.23;0.12;20;1840;31.8
766304.35;6284636.54;0.16;0.24;12;1280;32.3
766304.4;6284634.25;0.17;0.26;18;1360;28.2
766304.47;6284631.38;0.15;0.1;7;1200;31.7
766304.58;6284628.09;0.14;0.31;11;1120;24.6
766304.62;6284625.25;0.19;0.22;13;1520;28.1
766304.68;6284622.91;0.17;0.21;14;1360;29
766304.76;6284619.15;0.1;0.21;25;800;29.1
766304.8;6284616.85;0.12;0.08;27;960;33.9
766304.93;6284614.34;0.12;0.14;20;960;34
766304.98;6284611.18;0.18;0.1;18;1440;30.7
766305.06;6284607.77;0.13;0.06;28;1040;30.2
766305.15;6284604.68;0.16;0.1;20;1280;34.6
766305.2;6284601.61;0.17;0.1;19;1360;31
766305.24;6284598.69;0.16;0.3;14;1280;30.6
766305.34;6284595.96;0.19;0.1;19;1520;29.8
766305.41;6284592.97;0.12;0.07;21;960;30.9
766305.48;6284590.65;0.17;0.09;17;1360;30.5
766305.56;6284586.84;0.15;0.09;19;1200;29.4
766305.63;6284584.44;0.14;0.18;16;1120;30.2
766305.67;6284581;0.18;0.08;17;1440;29.3
766305.68;6284578.6;0.15;0.1;27;1200;29.5
766305.84;6284575.23;0.17;0.1;23;1360;34.8
766305.91;6284572.61;0.13;0.12;17;1040;32.8
766305.99;6284569.68;0.14;0.11;19;1120;29.1
766306.02;6284566.21;0.16;0.07;19;1280;30.2
766306.09;6284563.9;0.14;0.11;19;1120;30.1
766306.25;6284560.57;0.21;0.09;19;1680;30.2
766306.35;6284557.79;0.22;0.14;12;1760;31.1
766306.46;6284554.63;0.18;0.12;20;1440;28.2
766306.56;6284551.77;0.16;0.07;22;1280;31.5
766306.64;6284548.67;0.15;0.09;20;1200;31.7
766306.64;6284546.13;0.18;0.06;20;1440;30.7
766306.71;6284542.18;0.34;0.14;10;2720;30.9
766306.77;6284539.77;0.17;0.21;23;1360;16.8
766306.89;6284536.4;0.24;0.18;18;1920;34
766306.98;6284533.89;0.15;0.18;17;1200;32
766305.83;6284531.02;0.2;0.13;26;1600;30
766301.93;6284531.75;0.26;0.08;21;2080;35.5
766301.93;6284534.6;0.19;0.13;18;1520;33
766301.81;6284537.6;0.2;0.16;22;1600;30.7
766301.68;6284540.67;0.21;0.12;20;1680;33.4
766301.67;6284543.33;0.2;0.14;23;1600;32
766301.6;6284546.33;0.18;0.1;29;1440;33.8
766301.45;6284549.18;0.17;0.08;28;1360;36.6
766301.39;6284551.94;0.2;0.1;27;1600;35.6
766301.31;6284554.97;0.18;0.13;20;1440;35.7
766301.2;6284557.7;0.17;0.13;22;1360;31.6
766301.13;6284560.95;0.17;0.13;23;1360;32.5
766301.04;6284563.8;0.16;0.1;22;1280;33.1
766301.04;6284566.26;0.2;0.07;14;1600;32.1
766301.09;6284570.13;0.18;0.15;12;1440;28.2
766301;6284572.39;0.18;0.07;17;1440;27.7
766300.88;6284575.53;0.18;0.11;13;1440;29.4
766300.84;6284578.39;0.17;0.12;13;1360;27.8
766300.79;6284580.94;0.19;0.14;24;1520;27.7
766300.71;6284583.61;0.17;0.11;20;1360;34.2
766300.58;6284586.82;0.15;0.09;21;1200;31.2
766300.47;6284589.92;0.17;0.11;27;1360;31.2
766300.42;6284592.74;0.22;0.11;19;1760;35.3
766300.36;6284595.74;0.25;0.22;11;2000;31.5
766300.31;6284598.74;0.18;0.14;17;1440;28.9
766300.23;6284601.51;0.4;0.25;11;3200;30.1
766300.1;6284604.4;0.15;0.1;10;1200;18.4
766300.03;6284607.41;0.18;0.09;20;1440;25.9
766299.96;6284610.24;0.18;0.07;26;1440;31.2
766299.84;6284613.32;0.18;0.17;7;1440;34.4
766299.65;6284615.5;0.18;0.09;14;1440;25.5
766299.63;6284619.19;0.2;0.06;20;1600;23.6
766299.55;6284622.02;0.19;0.3;18;1520;31.2
766299.52;6284625.44;0.2;0.26;15;1600;32.4
766299.46;6284627.53;0.17;0.32;14;1360;30.5
766299.46;6284631.11;0.2;0.19;25;1600;25.3
