X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766781.53;6284758.77;1.43;0.43;0.73;11440
766778.85;6284760.19;1.17;0.57;0.67;9360
766776.28;6284761.53;1.44;0.52;0.83;11520
766773.89;6284762.74;1.4;0.32;0.8;11200
766771.28;6284764.11;1.23;0.42;0.77;9840
766768.76;6284765.39;1.3;0.31;0.83;10400
766766.21;6284766.73;1.16;0.33;0.72;9280
766763.71;6284768.04;1.23;0.3;0.77;9840
766761.16;6284769.46;1.45;0.33;0.8;11600
766759.04;6284770.59;1.57;0.3;0.8;12560
766756.01;6284772.18;1.26;0.36;0.84;10080
766753.61;6284773.42;1.23;0.47;0.69;9840
766751.08;6284774.84;1.35;0.37;0.83;10800
766748.69;6284776.16;1.3;0.35;0.88;10400
766746.21;6284777.47;1.49;0.38;0.85;11920
766743.73;6284778.71;1.62;0.44;0.85;12960
766741.22;6284780.08;1.19;0.3;0.73;9520
766738.69;6284781.53;1.16;0.34;0.75;9280
766735.91;6284782.97;1.55;0.62;0.72;12400
766733.34;6284784.28;1.43;0.3;0.87;11440
766731.06;6284785.42;1.51;0.3;0.87;12080
766728.2;6284786.87;1.22;0.26;0.78;9760
766725.23;6284788.42;1.38;0.52;0.79;11040
766722.99;6284789.57;1.36;0.41;0.82;10880
766720.42;6284790.94;1.39;0.33;0.87;11120
766718.22;6284792.13;1.28;0.26;0.78;10240
766715.53;6284793.58;1.34;0.36;0.89;10720
766712.65;6284795.08;1.02;0.53;0.76;8160
766710.32;6284796.42;1.42;0.45;0.89;11360
766707.77;6284797.79;1.09;0.42;0.8;8720
766705.29;6284799.14;1.14;0.31;0.73;9120
766702.36;6284800.7;1.26;0.31;0.76;10080
766700.25;6284801.74;1.58;0.34;0.7;12640
766696.81;6284803.62;1.37;0.3;0.85;10960
766695.03;6284804.52;1.36;0.34;0.82;10880
766692.03;6284806.05;1.17;0.36;0.64;9360
766689.46;6284807.48;1.3;0.48;0.75;10400
766687.71;6284808.39;1.19;0.36;0.76;9520
766684.26;6284810.2;1.29;0.34;0.84;10320
766681.96;6284811.4;1.63;0.41;0.91;13040
