X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766302.23;6284638.26;0.78;0.51;55;6240;65.7;29.6
766302.29;6284634.93;0.8;0.62;56;6400;70.2;28.8
766302.41;6284632.36;0.75;0.63;60;6000;73.7;25.6
766302.49;6284629.46;0.8;0.44;46;6400;55.1;36.8
766302.55;6284626.03;0.77;0.36;58;6160;65.5;27.2
766302.66;6284623.86;0.71;0.39;53;5680;58.6;31.2
766302.71;6284620.68;0.72;0.44;51;5760;57.8;32.8
766302.78;6284617.92;0.71;0.43;52;5680;58.3;32
766302.87;6284614.56;0.71;0.4;35;5680;42.4;45.6
766302.99;6284612.3;0.73;0.36;50;5840;55.5;33.6
766303;6284609.57;0.77;0.4;33;6160;42.3;47.2
766303.16;6284605.81;0.78;0.59;37;6240;48.8;44
766303.16;6284603.63;0.76;0.41;59;6080;67.5;26.4
766303.15;6284600.59;0.8;0.35;63;6400;72.7;23.2
766303.26;6284597.94;0.9;0.45;32;7200;47.8;48
766303.4;6284594.43;0.77;0.44;54;6160;62.7;30.4
766303.43;6284592.19;0.76;0.37;54;6080;60.8;30.4
766303.47;6284589.21;0.7;0.32;49;5600;52.9;34.4
766303.53;6284586.45;0.86;0.72;42;6880;58.3;40
766303.62;6284583.13;0.75;0.32;57;6000;62.8;28
766303.63;6284580.47;0.82;0.29;52;6560;59;32
766303.74;6284577.51;0.8;0.34;60;6400;68.6;25.6
766303.85;6284574.43;0.79;0.46;56;6320;66.1;28.8
766303.84;6284572.27;0.97;0.37;33;7760;50.9;47.2
766303.93;6284567.76;0.74;0.38;52;5920;58.2;32
766304.03;6284565.95;0.78;0.4;55;6240;63.3;29.6
766304.15;6284563.41;0.85;0.27;24;6800;38.8;54.4
766304.23;6284559.58;0.81;0.37;62;6480;72.3;24
766304.31;6284557.03;0.79;0.34;58;6320;65.8;27.2
766304.36;6284553.85;0.83;0.32;54;6640;62.1;30.4
766304.4;6284551.24;0.76;0.33;59;6080;65.7;26.4
766304.54;6284547.74;0.83;0.27;48;6640;54.8;35.2
766304.57;6284545.08;0.85;0.33;42;6800;50.8;40
766304.67;6284543.25;0.8;0.3;55;6400;61.8;29.6
766304.72;6284540.22;0.84;0.45;30;6720;43.7;49.6
766304.78;6284537.59;0.8;0.5;46;6400;56.3;36.8
766304.9;6284533.92;0.76;0.4;53;6080;60.4;31.2
766304.91;6284532.09;0.8;0.32;53;6400;60;31.2
766299.85;6284532.47;0.88;0.8;17;7040;46.5;60
766299.85;6284534.5;0.74;0.39;55;5920;61.7;29.6
766299.86;6284536.63;0.86;0.33;39;6880;48.4;42.4
766299.69;6284540.16;0.83;0.94;39;6640;60.8;42.4
766299.6;6284542.72;0.78;0.89;52;6240;70.8;32
